id,name,facility_id,address,phone,email,pin
1000,PHARMACIE DE LA PLAQUE 2,200,No,708080292,phcieplaq2@yahoo.fr,CI01
1001,PHARMACIE EMS SANTE,200,No,101133674,anassibla@yahoo.fr,CI02
1002,PHARMACIE FADYL,200,No,788899076,pharmaciephadyl@gmwil.com,CI03
1003,PHARMACIE N'GOHESSE,200,No,707202478,ngohesse@yahoo.fr,CI04
1004,PHARMACIE DU MARCHE,201,No,758094695,abkeita@yahoo.fr,CI05
1005,PHARMACIE SANTE POUR TOUS,201,No,505080819,ephilietgbangbo@gmail.com,CI06
1006,PHARMACIE DES QUAIS ,202,No,101290108,dominiquebossekehin@gmail.com,CI07
1007,PHARMACIE STE MARIE MAJEURE,202,No,748839943,lyneaka@hotmail.fr,CI08
1008,PHARMACIE CHU DE TREICHVILLE,202,No,,,CI09
1009,PHARMACIE DU ROND POINT ATTECOUBE,203,No,505644651,nguessanjp2004@yahoo.fr,CI10
1010,PHARMACIE PENIEL,203,No,,,CI11
1011,PHARMACIE BSA,204,No,707070282,pharmaciebsa@gmail.com,CI12
1012,PHARMACIE IRIS,204,No,707636914,m.mericick@yahoo.fr,CI13
1013,PHARMACIE MILIE HEVIE,204,No,707586999,kouao.aka@hotmail.com,CI14
1014,PHARMACIE CENACLE,205,No,707011054,arsene.brou09@gmail.com,CI15
1015,PHARMACIE MATY,205,No,,,CI16
1016,PHARMACIE SAINT CLEMENT,205,No,,,CI17
1017,PHARMACIE ATLANTIQUE,206,No,707015024,kanigui@yahoo.fr,CI18
1018,PHARMACIE DU WHARF,206,No,707709813,armellesekattey@gmail.com,CI19
1019,PHARMACIE BETHANIE,206,No,,,CI20
1020,PHARMACIE STE MARIE MAJEURE,206,No,748839943,lyneaka@hotmail.fr,CI21
